"age","fx"
10,0
11,0
12,6.99154023631406e-05
13,0.000209746207089422
14,0.00111864643781025
15,0.00524365517723555
16,0.017898343004964
17,0.0439767880864154
18,0.0868349297350206
19,0.14157868978536
20,0.197441096273509
21,0.247360693560791
22,0.29140739704957
23,0.330350276165839
24,0.35328252814095
25,0.369432986086835
26,0.37712368034678
27,0.389638537369783
28,0.389568621967419
29,0.387401244494162
30,0.386352513458715
31,0.379151227015312
32,0.371390617353003
33,0.365657554359225
34,0.34950709641334
35,0.340977417325037
36,0.323568482136615
37,0.303013353841851
38,0.27938194784311
39,0.252744179542754
40,0.214360623645389
41,0.184856323848144
42,0.138292665874292
43,0.0966230860658603
44,0.0614556386772014
45,0.0330000699154018
46,0.0180381738096909
47,0.00748094805285593
48,0.0048940781654192
49,0.00195763126616821
